id,correo_usuario,reserva_id,valor,clausula,empresa,tipo
3484,pacahe623@tourket.com,101817,,,,
3485,sra.562193@marmol.com,,61000,"Reembolso por cancelaciones laborales imprevistas, Cobertura de penalidades por cambio de vuelo",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
3486,Sra.raya345@viajesanma.com,101961,,"Reembolso por cancelaciones laborales imprevistas, Cobertura de penalidades por cambio de vuelo",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Cancelación de Viaje
3487,,101963,13000,,Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
3488,Dolorescrespo480@wass.com,101967,,,,
3489,ana5881595@edubus.cal,102021,,,,
3490,sta.8893870@outluc.com,,13000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Liberty Compañía de Seguros Generales S.A.,Seguro de Interrupción del Viaje
3491,maría8658580@wass.com,102126,,,,
3492,ana6840583@wass.com,,,,,
3493,esalmu883@marmol.com,102216,,,,
3494,maelvéli456@outluc.com,102220,84000,"Cobertura de artículos electrónicos bajo ciertos límites, Indemnización por retraso en la entrega de equipaje",Confuturo S.A.,Seguro de Equipaje y Efectos Personales
3495,Sra.corona876@outluc.com,102234,60000,"Cobertura de gastos médicos por enfermedad o accidente, Cobertura de medicamentos recetados",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
3496,cotoqu219@viajesanma.com,102283,11000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",MetLife Chile Seguros de Vida S.A.,Seguro por Demoras en el Viaje
3497,Sr.canales866@wass.com,102315,,,,
3498,stcrpuja208@wass.com,102349,56000,"Cobertura de artículos electrónicos bajo ciertos límites, Cobertura por pérdida, robo o daño de equipaje",BICE Vida Compañía de Seguros S.A.,Seguro de Equipaje y Efectos Personales
3499,stcrpuja208@wass.com,102352,,,,
3500,adán1473872@wass.com,102363,,,,
3501,stguenca836@tourket.com,102373,11000,,MetLife Chile Seguros de Vida S.A.,Seguro de Interrupción del Viaje
6377,sta.6818357@outluc.com,107121,,,,
8366,aravay153@edubus.cal,88947,,,,
9003,Emiliagastélum383@marmol.com,,,,,
3502,germán7896769@wass.com,102384,69000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
3503,germán7896769@wass.com,102386,87000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",HDI Seguros S.A.,Seguro por Demoras en el Viaje
3504,Jorgezavala800@edubus.cal,102395,,,,
3505,Raúlcaraballo974@marmol.com,102411,19000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",Confuturo S.A.,Seguro de Cancelación de Viaje
3506,Guillerminalovato717@outluc.com,102432,,,,
3507,gubeca477@outluc.com,102492,85000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Cancelación de Viaje
3508,Sr.tapia171@tourket.com,102500,34000,"Cobertura por pérdida, robo o daño de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Vida Cámara S.A.,Seguro de Equipaje y Efectos Personales
3509,sta.9588609@viajesanma.com,102510,,,,
3510,sta.9588609@viajesanma.com,102511,,,,
3511,sr.5323939@outluc.com,,,,,
3512,coceja218@marmol.com,102566,,,,
3513,maapde495@wass.com,,,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Liberty Compañía de Seguros Generales S.A.,Seguro de Interrupción del Viaje
3514,maapde495@wass.com,102583,,,,
3515,Josécasillas920@marmol.com,102648,94000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Confuturo S.A.,Seguro por Demoras en el Viaje
3516,srsozaja802@viajesanma.com,102663,,,,
3517,Juliaarteaga578@edubus.cal,102672,50000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
3518,Juliaarteaga578@edubus.cal,102674,67000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Cancelación de Viaje
3519,loreve396@outluc.com,102708,84000,"Cobertura de penalidades por cambio de vuelo, Cobertura por cancelaciones debido a desastres naturales o disturbios",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
3520,,102718,,,,
3521,crveor204@viajesanma.com,,,,,
3522,teresa293918@wass.com,102733,,,,
3523,sra.3926776@outluc.com,,,,,
3524,sra.2169684@marmol.com,102786,,,,
3525,jesús8018357@tourket.com,,,,,
3526,dorotea9511864@marmol.com,102839,,,,
3527,dorotea9511864@marmol.com,102848,8000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.,Seguro de Interrupción del Viaje
3528,dorotea9511864@marmol.com,102850,48000,"Indemnización por retraso en la entrega de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
3529,Sergioharo477@wass.com,102897,48000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",,Seguro por Demoras en el Viaje
3530,Estelaramos212@marmol.com,102936,,,,
3531,ricardo6533570@wass.com,102968,,,,
3532,luvajá632@tourket.com,102981,,,,
3533,roheta334@outluc.com,103017,27000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3534,manuela8638832@tourket.com,103036,33000,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",Vida Cámara S.A.,Seguro de Responsabilidad Civil
3535,Andreacotto787@edubus.cal,103041,76000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Interrupción del Viaje
3536,leonor9281645@outluc.com,103051,42000,"Evacuación y repatriación sanitaria, Hospitalización y cirugías de emergencia",HDI Seguros S.A.,
3537,miguel3275541@viajesanma.com,103114,,,Liberty Compañía de Seguros Generales S.A.,Seguro de Interrupción del Viaje
3538,Gustavomatos617@outluc.com,,,,,
3539,Federicoarreola639@wass.com,103132,,,,
3540,Sra.orellana543@tourket.com,103151,8000,,HDI Seguros S.A.,Seguro por Demoras en el Viaje
3541,isarre176@wass.com,103191,,,,
3542,Jaimelongoria236@viajesanma.com,103228,,,,
3543,Josérosales294@wass.com,103290,24000,"Indemnización por pérdida de conexiones debido a retrasos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3544,juan4715798@outluc.com,103299,39000,"Cobertura de artículos electrónicos bajo ciertos límites, Cobertura por pérdida, robo o daño de equipaje",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Equipaje y Efectos Personales
3545,daniel8060396@viajesanma.com,,,,,
3546,srgusaes484@outluc.com,,,,,
3547,Margaritacastro329@viajesanma.com,103344,72000,"Hospitalización y cirugías de emergencia, Cobertura de medicamentos recetados",Consorcio Nacional de Seguros Vida S.A.,Seguro de Asistencia Médica
3548,Maríajasso910@edubus.cal,103376,,,,
3549,Maríajasso910@edubus.cal,103377,,,,
3550,Andreavega325@tourket.com,103394,79000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Vida Cámara S.A.,Seguro de Interrupción del Viaje
3551,guadmo783@marmol.com,103424,44000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.,Seguro de Cancelación de Viaje
3552,srbeseta886@tourket.com,103445,,,,
3553,logaab560@edubus.cal,103457,,,,
3554,anarve276@edubus.cal,103473,,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
3555,,103504,,,,
3556,sr.1919679@marmol.com,103544,35000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
9218,Sra.arreola423@marmol.com,110399,,,,
9219,,110419,,,,
9220,daniel207325@outluc.com,110425,,,,
3557,,103550,88000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
3558,claudia3864958@marmol.com,103553,,,,
3559,jerónimo699133@viajesanma.com,103558,36000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",HDI Seguros S.A.,Seguro de Responsabilidad Civil
3560,jerónimo699133@viajesanma.com,103566,,,,
3561,alyábu227@tourket.com,103589,59000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Renta Nacional Compañía de Seguros Generales S.A.,
3562,Sr.báez535@outluc.com,103690,94000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Renta Nacional Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3563,céalbe602@outluc.com,103817,33000,"Cobertura por pérdida, robo o daño de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
3564,Luismota517@outluc.com,103790,,,,
3565,Alejandrodelgado963@tourket.com,103799,,,,
3566,Alejandrodelgado963@tourket.com,103807,,,,
3567,Joséserrato685@wass.com,103835,,,,
3568,Eduardoagosto919@marmol.com,103841,81000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Confuturo S.A.,Seguro por Demoras en el Viaje
3569,igalal276@marmol.com,103855,,,,
3570,igalal276@marmol.com,,,,,
3571,vegupa144@wass.com,,59000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Indemnización por pérdida de conexiones debido a retrasos",Vida Cámara S.A.,Seguro por Demoras en el Viaje
3572,,103884,76000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Vida Cámara S.A.,Seguro por Demoras en el Viaje
3573,Andrésvillagómez840@edubus.cal,103885,55000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",Vida Cámara S.A.,Seguro de Interrupción del Viaje
3574,claudia8316641@viajesanma.com,103897,38000,,Vida Cámara S.A.,Seguro de Equipaje y Efectos Personales
3575,,103904,,,,
3576,caridad6905861@edubus.cal,,69000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Renta Nacional Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3577,caridad6905861@edubus.cal,103914,,,,
3578,Maytenoriega971@edubus.cal,103916,83000,"Reembolso por cancelaciones laborales imprevistas, Cobertura por cancelaciones debido a desastres naturales o disturbios",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Cancelación de Viaje
3579,Maytenoriega971@edubus.cal,103917,54000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura de artículos electrónicos bajo ciertos límites",Vida Cámara S.A.,Seguro de Equipaje y Efectos Personales
3580,sra.6947633@tourket.com,103936,,,,
3581,sra.6947633@tourket.com,103941,49000,"Gastos legales en caso de demandas civiles, Cobertura de daños a propiedades alquiladas",Vida Cámara S.A.,Seguro de Responsabilidad Civil
3582,Gilbertopiña566@marmol.com,103946,,,,
3583,dolores3172561@tourket.com,103958,,"Cobertura de daños a propiedades alquiladas, Gastos legales en caso de demandas civiles",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
3584,Sra.escamilla558@outluc.com,103971,52000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",BICE Vida Compañía de Seguros S.A.,Seguro de Cancelación de Viaje
3585,alejandro2734446@viajesanma.com,104019,,,,
3586,srlerepr997@tourket.com,104045,,,,
3587,sta.3903315@wass.com,104067,98000,"Cobertura de medicamentos recetados, Cobertura de gastos médicos por enfermedad o accidente",HDI Seguros S.A.,Seguro de Asistencia Médica
3588,,104090,,,,
3589,jucaviar580@outluc.com,104095,37000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
3590,jucaviar580@outluc.com,104101,,,,
3591,alreci801@tourket.com,,,,,
3592,alreci801@tourket.com,104118,38000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura de penalidades por cambio de vuelo",Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
3593,Aliciaguerra634@outluc.com,104206,52000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
3594,miáncame917@marmol.com,104277,95000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3595,javier4780879@viajesanma.com,,,,,
3596,javier4780879@viajesanma.com,104342,,,,
3597,Sr.aguayo835@viajesanma.com,,,,,
3598,,104389,82000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",,Seguro por Demoras en el Viaje
3599,mategugo433@outluc.com,104432,27000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Seguros Generales Suramericana S.A.,Seguro de Interrupción del Viaje
3600,marcos3749169@wass.com,,32000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
3601,cltrpu724@marmol.com,104470,,,,
3602,teresa3746431@edubus.cal,104539,62000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",BICE Vida Compañía de Seguros S.A.,Seguro de Responsabilidad Civil
3603,Leonorsoliz140@outluc.com,104546,,,,
3604,octavio2825116@outluc.com,104619,36000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Consorcio Nacional de Seguros Vida S.A.,Seguro de Cancelación de Viaje
3605,locaji163@outluc.com,104682,88000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Liberty Compañía de Seguros Generales S.A.,Seguro de Cancelación de Viaje
3606,Sra.sanabria958@edubus.cal,104714,,,,
3607,majopabe555@tourket.com,,54000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
10945,Jorgerangel377@outluc.com,,,,,
10946,,,,,,
3608,josé9007506@wass.com,104811,56000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",HDI Seguros S.A.,Seguro de Asistencia Médica
3609,josé9007506@wass.com,104815,83000,,Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
3610,joemcava219@viajesanma.com,104836,,,,
3611,beatriz1427156@viajesanma.com,104847,,,,
3612,sta.2056184@viajesanma.com,104888,,,,
3613,sta.2056184@viajesanma.com,104897,62000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
3614,Sr.rincón745@marmol.com,104912,,,,
3615,Sr.rincón745@marmol.com,,97000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Reembolso por cancelaciones laborales imprevistas",HDI Seguros S.A.,Seguro de Cancelación de Viaje
3616,Sr.rincón745@marmol.com,104919,72000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Vida Cámara S.A.,
3617,Sr.rincón745@marmol.com,104920,,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",MetLife Chile Seguros de Vida S.A.,Seguro de Equipaje y Efectos Personales
3618,maría9006848@edubus.cal,104925,11000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
3619,,104979,,,,
3620,,105069,,,,
3621,adriana7732462@viajesanma.com,105099,46000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",MetLife Chile Seguros de Vida S.A.,Seguro de Equipaje y Efectos Personales
3622,olivia246956@wass.com,105120,9000,"Reembolso por cancelaciones laborales imprevistas, Cobertura de penalidades por cambio de vuelo",HDI Seguros S.A.,Seguro de Cancelación de Viaje
3623,armade579@wass.com,105142,,"Cobertura por pérdida, robo o daño de equipaje, Indemnización por retraso en la entrega de equipaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Equipaje y Efectos Personales
3624,gubeca477@outluc.com,105174,,,,
3625,Hernánviera459@edubus.cal,105183,,,,
3626,Guadalupemena974@edubus.cal,,6000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",Seguros Generales Suramericana S.A.,Seguro de Asistencia Médica
3627,macara960@viajesanma.com,105196,,,,
3628,ánurta990@wass.com,105246,,,,
3629,maorpá777@edubus.cal,105259,,,,
3630,Anaméndez252@wass.com,105279,19000,"Reembolso de gastos no utilizados por interrupción del viaje, Cobertura de costos adicionales por regreso anticipado",BICE Vida Compañía de Seguros S.A.,Seguro de Interrupción del Viaje
3631,,105313,,,,
3632,tenial845@viajesanma.com,105322,92000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",,Seguro de Asistencia Médica
3633,,105341,16000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.,Seguro de Interrupción del Viaje
3634,,105348,80000,"Cobertura de medicamentos recetados, Evacuación y repatriación sanitaria",Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
3635,Ángelaaragón758@outluc.com,105353,93000,"Asistencia para reemplazo de documentos de viaje perdidos, Cobertura por pérdida, robo o daño de equipaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
3636,Cristiancamarillo609@wass.com,105372,70000,,Consorcio Nacional de Seguros Vida S.A.,Seguro de Interrupción del Viaje
3637,Cristiancamarillo609@wass.com,105376,,,,
3638,Cristiancamarillo609@wass.com,105381,,,,
3639,Tomásadorno795@tourket.com,105437,72000,"Cobertura de daños a propiedades alquiladas, Cobertura por daños a terceros durante el viaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
3640,pedro5542744@outluc.com,105465,,,,
3641,,105492,,,,
3642,lourpu923@outluc.com,105498,15000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
3643,esperanza7561972@wass.com,,88000,"Reembolso de gastos adicionales por retrasos en vuelos, Cobertura de alojamiento y alimentación por retrasos prolongados",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3644,rosalia9975276@outluc.com,105536,,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",Vida Cámara S.A.,Seguro de Equipaje y Efectos Personales
3645,,105576,,,,
3646,revabu992@outluc.com,105577,,,,
3647,sta.1998150@edubus.cal,,46000,"Cobertura de medicamentos recetados, Hospitalización y cirugías de emergencia",Vida Cámara S.A.,Seguro de Asistencia Médica
3648,sta.6560419@marmol.com,,,,,
3649,goheco319@edubus.cal,105639,31000,"Asistencia para reemplazo de documentos de viaje perdidos, Indemnización por retraso en la entrega de equipaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
3650,victoria4583868@tourket.com,105661,19000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",Liberty Compañía de Seguros Generales S.A.,Seguro por Demoras en el Viaje
3651,malutama814@tourket.com,105690,34000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",Consorcio Nacional de Seguros Vida S.A.,Seguro por Demoras en el Viaje
3652,Marcelagarza762@wass.com,,,,,
3653,Sta.abrego714@viajesanma.com,105721,50000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
3654,sradgaes581@marmol.com,105746,,,,
3655,,105855,23000,"Indemnización por retraso en la entrega de equipaje, Asistencia para reemplazo de documentos de viaje perdidos",BICE Vida Compañía de Seguros S.A.,Seguro de Equipaje y Efectos Personales
3656,Salvadorluevano375@tourket.com,,56000,"Compensación por imprevistos que obliguen a detener el viaje, Reembolso de gastos no utilizados por interrupción del viaje",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Interrupción del Viaje
3657,Sr.covarrubias178@viajesanma.com,105935,,,,
3658,marilu2791390@marmol.com,105942,,,,
3659,Sta.vera564@edubus.cal,105994,56000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",Consorcio Nacional de Seguros Vida S.A.,Seguro de Interrupción del Viaje
3660,,,,,,
3661,srdoorpo416@edubus.cal,106021,33000,"Reembolso por cancelaciones laborales imprevistas, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",MetLife Chile Seguros de Vida S.A.,Seguro de Cancelación de Viaje
3662,maqura244@tourket.com,,,,,
3663,horacio8196232@wass.com,,,,,
3664,mavidu706@marmol.com,106058,45000,"Reembolso por cancelaciones laborales imprevistas, Reembolso por cancelación debido a enfermedad, accidente o fallecimiento",Vida Cámara S.A.,Seguro de Cancelación de Viaje
3665,Sr.aguayo835@viajesanma.com,106072,80000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Cobertura por cancelaciones debido a desastres naturales o disturbios",Confuturo S.A.,Seguro de Cancelación de Viaje
3666,claudia3864958@marmol.com,106086,,,,
3667,,106093,58000,"Cobertura de medicamentos recetados, Cobertura de gastos médicos por enfermedad o accidente",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Asistencia Médica
3668,susana9334818@viajesanma.com,106095,,,,
3669,jesús6378237@viajesanma.com,106139,57000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",MetLife Chile Seguros de Vida S.A.,Seguro por Demoras en el Viaje
3670,jesús6378237@viajesanma.com,106142,,,,
3671,Juliodelgadillo874@tourket.com,106159,85000,,MetLife Chile Seguros de Vida S.A.,Seguro de Responsabilidad Civil
3672,givaro399@outluc.com,106185,,,,
3673,doropi546@tourket.com,106210,,,,
3674,evdáte741@marmol.com,106220,8000,"Reembolso de gastos adicionales por retrasos en vuelos, Indemnización por pérdida de conexiones debido a retrasos",Confuturo S.A.,Seguro por Demoras en el Viaje
3675,evdáte741@marmol.com,,8000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",,Seguro por Demoras en el Viaje
3676,Leticiameléndez767@tourket.com,106268,,,,
3677,sra.7171762@wass.com,106310,67000,"Hospitalización y cirugías de emergencia, Evacuación y repatriación sanitaria",HDI Seguros S.A.,Seguro de Asistencia Médica
3678,,106327,20000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Vida Cámara S.A.,Seguro de Interrupción del Viaje
3679,maría2395412@outluc.com,106432,17000,,Consorcio Nacional de Seguros Vida S.A.,Seguro de Responsabilidad Civil
3680,jezaca209@viajesanma.com,106453,13000,"Cobertura de alojamiento y alimentación por retrasos prolongados, Reembolso de gastos adicionales por retrasos en vuelos",Seguros Generales Suramericana S.A.,Seguro por Demoras en el Viaje
3681,agustín4570813@marmol.com,106464,,,,
3682,srnaceca743@outluc.com,106516,,,,
3683,ana8305224@wass.com,,74000,"Cobertura de gastos médicos por enfermedad o accidente, Evacuación y repatriación sanitaria",MetLife Chile Seguros de Vida S.A.,Seguro de Asistencia Médica
3684,Margaritaarredondo953@edubus.cal,,,,,
3685,reina7291553@viajesanma.com,106635,39000,"Reembolso de gastos no utilizados por interrupción del viaje, Compensación por imprevistos que obliguen a detener el viaje",MetLife Chile Seguros de Vida S.A.,Seguro de Interrupción del Viaje
3686,,106671,,,,
3687,Evamaya649@edubus.cal,106698,78000,"Gastos legales en caso de demandas civiles, Cobertura por daños a terceros durante el viaje",Liberty Compañía de Seguros Generales S.A.,Seguro de Responsabilidad Civil
3688,Evamaya649@edubus.cal,,77000,"Reembolso por cancelación debido a enfermedad, accidente o fallecimiento, Reembolso por cancelaciones laborales imprevistas",Confuturo S.A.,Seguro de Cancelación de Viaje
3689,blviju147@tourket.com,106742,18000,"Hospitalización y cirugías de emergencia, Cobertura de gastos médicos por enfermedad o accidente",MetLife Chile Seguros de Vida S.A.,Seguro de Asistencia Médica
3690,,106746,,,,
3691,gupita391@marmol.com,106826,,,,
3692,francisco3451310@marmol.com,,59000,"Cobertura por pérdida, robo o daño de equipaje, Cobertura de artículos electrónicos bajo ciertos límites",Renta Nacional Compañía de Seguros Generales S.A.,Seguro de Equipaje y Efectos Personales
3693,grgafa303@marmol.com,106842,,,,
3694,almagi637@viajesanma.com,106848,,,,
3695,Sra.agosto600@marmol.com,106854,,,,
3696,Sta.chávez640@outluc.com,106874,,,,
3697,sta.8931768@edubus.cal,106878,92000,"Indemnización por pérdida de conexiones debido a retrasos, Reembolso de gastos adicionales por retrasos en vuelos",Consorcio Nacional de Seguros Vida S.A.,Seguro por Demoras en el Viaje
3698,elflza953@outluc.com,106893,,,,
3699,leonor6694280@wass.com,106924,,,,
3700,Normaquiroz570@viajesanma.com,106934,48000,"Cobertura por daños a terceros durante el viaje, Gastos legales en caso de demandas civiles",MAPFRE Compañía de Seguros Generales de Chile S.A.,Seguro de Responsabilidad Civil
3701,srvimefl216@tourket.com,106942,42000,"Cobertura de costos adicionales por regreso anticipado, Reembolso de gastos no utilizados por interrupción del viaje",Seguros Generales Suramericana S.A.,Seguro de Interrupción del Viaje
3702,sonúce739@wass.com,106952,80000,"Cobertura de costos adicionales por regreso anticipado, Compensación por imprevistos que obliguen a detener el viaje",HDI Seguros S.A.,
3703,stolorpá727@edubus.cal,107045,75000,"Cobertura por cancelaciones debido a desastres naturales o disturbios, Cobertura de penalidades por cambio de vuelo",Vida Cámara S.A.,Seguro de Cancelación de Viaje
3704,joaquín5270531@tourket.com,,,,,
3705,escapa296@viajesanma.com,107112,,,,
3706,sta.6818357@outluc.com,107126,59000,"Cobertura de medicamentos recetados, Hospitalización y cirugías de emergencia",Liberty Compañía de Seguros Generales S.A.,Seguro de Asistencia Médica
3707,sressoga952@tourket.com,107133,92000,"Asistencia para reemplazo de documentos de viaje perdidos, Indemnización por retraso en la entrega de equipaje",HDI Seguros S.A.,Seguro de Equipaje y Efectos Personales
3708,julia8587147@marmol.com,107139,19000,"Cobertura por daños a terceros durante el viaje, Cobertura de daños a propiedades alquiladas",Vida Cámara S.A.,Seguro de Responsabilidad Civil
3709,cristian5903671@viajesanma.com,107154,,"Compensación por imprevistos que obliguen a detener el viaje, Cobertura de costos adicionales por regreso anticipado",,Seguro de Interrupción del Viaje
3710,Sta.nájera376@viajesanma.com,,92000,,Seguros Generales Suramericana S.A.,Seguro de Cancelación de Viaje
