nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sta. Marcela Hernández Reynoso,stmahere955@outluc.com,anESEmcY3jj3K,stmahere705,+56 2 7894 3358,18939488,0,,,,8
Homero Olvera Bustamante,Homerobustamante964@wass.com,tSg4DjfrzE,hoolbu362,+56 2 6690 3343,3953717,16660,,,,6
Manuel Delao Barrera,madeba309@edubus.cal,pAridXK79,madeba151,+56 9 1276 2830,,,,,,
José Espinoza Ochoa,joesoc738@tourket.com,p6Z43CLwTcE287K,joesoc799,+56 2 3933 5162,15486212,6880,,,,9
Ángela Centeno Yáñez,Ángelayáñez640@marmol.com,,Ángelayáñez698,+56 2 8557 7728,24214859,12988,,,,2
Susana Garica Hinojosa,,5YQRqZPwErfR8Ml,sugahi413,+56 9 3153 2742,25952501,4693,,,,2
Dolores Villareal Meza,dovime486@marmol.com,pW0856E0g,Doloresmeza101,+56 9 8864 4565,11127759,6860,,,,1
Felipe Valenzuela Ulibarri,Felipeulibarri341@viajesanma.com,LAy8eKHYoh1H,Felipeulibarri754,+56 9 0182 4383,,6077,,,,
Daniela Canales Vega,,R0P44vCbxXHbH4M,dacave717,+56 9 4976 1325,22629240,8125,,,,3
Miguel Ángel Sevilla Anaya,miánsean481@tourket.com,QW7MEXjnhuk7,Miguelanaya395,+56 2 8496 5249,9406359,0,,,,0
Patricia Quintanilla Delgado,,NyX6JaD20HcmF87i,paqude425,+56 9 6518 7699,19876279,,Nocturno,Banmédica,Part time,2
Isabel Téllez Coronado,istéco579@outluc.com,hwmy8YEGZ2Ek,Isabelcoronado157,+56 2 5001 1491,6079092,27721,,,,2
Sr. Inés Águilar Solano,sr.1742141@outluc.com,hUGil11ewfg1LqC,sr.5324366,+56 2 1114 9419,13413412,-8964,,,,7
Daniel Pantoja Ríos,,,daniel4005501,+56 2 1672 5498,6843900,9573,,,,0
José Emilio Arce Gallardo,Joségallardo746@viajes.cl,VHEpRwVZh4a,Joségallardo281,+56 9 6528 5189,10877050,,Nocturno,Colmena,Part time,3
Sr. Graciela Loera Banda,,B7TmrVlgNg,,+56 2 8219 6871,-13212604,2504,,,,6
Armando Prieto Navarro,armando8288965@tourket.com,WC1uFugkUlSQqpi0,Armandonavarro842,,,27038,,,,
,agustín2169362@wass.com,B9nkdZSKz,,+56 9 8593 8726,22865122,1126,,,,2
Ana Luisa Briseño Barreto,Anabarreto586@viajesanma.com,yGRSi8DW5uq,ana2430546,+56 2 7185 1103,14145651,8361,,,,2
Sr. Antonia Jasso Mejía,sr.3346244@edubus.cal,VKnYt9UL7cE7CHkW,Sr.mejía712,,13220200,14731,,,,1
Sra. Vicente Maya Caraballo,sra.9796337@tourket.com,EStbLQ2nURI,sra.7668775,+56 9 7415 0274,3487456,0,,,,5
Rocio Rael Córdova,Rociocórdova126@marmol.com,R6zZi4SVm,Rociocórdova942,+56 9 2236 6828,25480718,1458,,,,4
Salvador Padilla Luevano,Salvadorluevano375@tourket.com,06koUF8BFLACBm,salvador9370877,+56 2 9454 8483,17173423,6120,,,,1
Joaquín Niño Flórez,Joaquínflórez697@outluc.com,xp461TGkNB2,Joaquínflórez725,+56 2 2792 6841,-12844792,0,,,,K
Alejandra Deleón Villa,Alejandravilla382@outluc.com,MCeKzQw5xHr3,alejandra7452880,+56 9 9690 0588,17872799,8032,,,,0
Antonio Rodrígez Castellanos,,,anroca904,+56 9 3815 5488,11697936,,Diurno,,Full time,5
Concepción Lucio Anguiano,Concepciónanguiano833@tourket.com,pNPjk5a9,coluan269,+56 9 4666 4429,26243838,5022,,,,4
Concepción Feliciano Garica,concepción2266378@edubus.cal,nMgljVO4g,cofega688,+56 2 2852 3302,21396489,-1002,,,,5
,Saraalvarado572@marmol.com,ijDkQWBwCN0V9Y5r,Saraalvarado103,+56 2 0297 4093,24401007,1958,,,,5
Luis Carrion Mota,Luismota517@outluc.com,7NOEf6l0qWusiPE,lucamo800,+56 9 0740 2348,529385,,,,,5
Miguel Ángel Miramontes Palacios,Miguelpalacios190@viajesanma.com,2YNKea8lPztWqTFw,Miguelpalacios912,+56 2 3325 0284,14429206,10721,,,,5
Sra. Antonia Ulloa Padilla,sra.3077196@tourket.com,85SEepVqjr8,,+56 9 9838 4593,13293696,0,,,,K
Gregorio Sierra Chapa,gregorio4162906@viajesanma.com,57fy2bd0iMMb,grsich754,+56 2 6891 3031,24388588,4278,,,,4
Luis Miguel de Jesús Gracia,lumidejegr954@edubus.cal,92slUhDmQHzH,lumidejegr383,+56 9 8342 4933,24477059,,,,,2
Sta. Soledad Riojas Vera,Sta.vera564@edubus.cal,dccF2657R,Sta.vera884,+56 9 0686 2469,10709823,2565,,,,2
,diabga267@marmol.com,67oWxJ1HDxdtM,Dianagarrido722,+56 2 7620 5791,11127877,6374,,,,6
Susana Contreras Escobar,sucoes143@edubus.cal,maoPQvDx5n,sucoes186,+56 9 3695 8629,16340179,5454,,,,7
Guillermo Mora Botello,,6ATuo6WgsK,guillermo3541917,+56 9 8425 9339,414279,,Nocturno,Fonasa,Full time,9
Sr. Gabriela Samaniego Armenta,Sr.armenta518@tourket.com,lMgnQoK54QtuD,sr.7334257,+56 2 1464 7662,21913760,,,,,5
Guadalupe Loera Gracia,Guadalupegracia236@viajesanma.com,ji1kJS8IqySRyBZ,guadalupe9086488,+56 9 4790 7027,23835077,22214,,,,8
Patricio Baeza Quiñónez,Patricioquiñónez855@tourket.com,e6JkO4xx,Patricioquiñónez301,+56 2 3339 8949,28432184,30433,,,,7
Homero Báez Bermúdez,Homerobermúdez680@tourket.com,WRrg4VwHE,Homerobermúdez245,,21230037,0,,,,3
Marco Antonio Montalvo Espinal,marco3096271@edubus.cal,yAIhlwL8miIeU,Marcoespinal683,+56 9 5765 3523,18061997,0,,,,6
Marisol Galindo Sauceda,Marisolsauceda149@viajesanma.com,54T6WKiW3lJy,magasa600,+56 2 2910 0575,18750029,23595,,,,K
Isabela Arroyo Regalado,isarre176@wass.com,,isarre632,+56 9 7915 5004,9844764,3672,,,,4
José Luis Razo Olivares,joluraol831@wass.com,AXk86jsM7uFEl7,josé9964357,+56 2 2390 9132,7858029,7273,,,,1
,sofrcr758@viajesanma.com,,sonia4112120,+56 9 6916 4208,26828497,11661,,,,4
Clara Prado Saldaña,Clarasaldaña655@viajes.cl,lnh9Zz6iNj,Clarasaldaña990,+56 9 4488 8819,1897988,,Nocturno,Más vida,Full time,8
Sr. Lucia Quiñones Quintana,srluququ687@viajes.cl,eZx2uqseQnzAFpHB,sr.4607493,+56 9 3224 0412,21194445,,Diurno,Colmena,Part time,5
Fernando Cruz Vázquez,fernando2752315@marmol.com,6Wl2oIIdAwvtRhN,fernando4742995,+56 9 8502 6233,29096707,3262,,,,4
Sra. Virginia Rivera Deleón,sra.5088447@outluc.com,A0rMsdrtEjSt51L,srviride221,,5627399,4778,,,,9
Alicia Otero Guerra,Aliciaguerra634@outluc.com,kIxRF7G6g,Aliciaguerra783,+56 2 8898 2452,8879571,19540,,,,7
Arturo Rivero Santiago,arturo8818697@viajesanma.com,OwhGjqoN0,Arturosantiago586,+56 2 0932 3500,25632181,7521,,,,5
Sta. Susana Tijerina Sanches,sta.841216@marmol.com,U5qJW2F7WOdhu,stsutisa216,+56 2 4355 4998,929250,269,,,,0
Juan Carlos Lira Nieto,jucalini961@outluc.com,qBQFGiVG5j8dBe,juan9296865,+56 9 8606 2488,11939341,0,,,,8
Sr. Alejandra Aponte Granado,Sr.granado451@tourket.com,MxgfUxyx0Am,sr.4019973,+56 2 6897 2808,17468274,19010,,,,7
Cristian Dueñas Lomeli,,bnL6dsBhS,cristian3157389,+56 2 3191 4304,9759640,16261,,,,9
Fernando Altamirano Mayorga,fealma950@outluc.com,Tuk0lBKF,fernando4207518,+56 9 0356 1263,18558805,0,,,,K
Pablo Concepción Nava,pacona713@viajesanma.com,LAD7Rwv3r,pablo6960757,+56 2 4192 0840,23669207,0,,,,8
Amalia Lara Portillo,,dGbfSVXyBsFR4,,+56 9 3573 9905,28154229,3515,,,,K
Óscar Bernal Bernal,Óscarbernal574@outluc.com,,ósbebe888,+56 9 8404 0438,22372829,507,,,,4
,Sta.abrego254@tourket.com,w3UhMLcWNKuP,sta.8079768,+56 9 8108 6891,27288178,0,,,,2
Sr. Micaela Núñez Mayorga,srminúma748@tourket.com,aQj2f9Yn4j,,,19181563,8456,,,,7
Sra. Virginia Vera Mesa,sra.8503663@marmol.com,o1bw87HSxEr7X6Kb,sra.4071398,+56 9 2655 8087,22037763,21167,,,,6
Jacobo Ruelas Cabrera,jaruca990@tourket.com,PApOI7ReMtW2cHrw,Jacobocabrera686,+56 2 2992 8010,9377951,7567,,,,7
Esperanza Samaniego Santacruz,,yh6XxGf4,essasa135,+56 9 1451 7469,4971614,0,,,,1
Sr. Agustín Cisneros Alba,Sr.alba619@edubus.cal,,sragcial992,+56 9 9007 4532,22054129,0,,,,0
,srvimona836@edubus.cal,YxAm2Zjn,Sra.narváez687,+56 2 6268 8230,-23569377,19778,,,,1
Marco Antonio Villareal Tejeda,Marcotejeda322@wass.com,RcsR0ODzuC,Marcotejeda430,+56 2 5173 7542,8399526,1848,,,,2
Sra. Marco Antonio Pulido Cedillo,sra.7697392@viajes.cl,Hs8lBRsiTsBJY4zY,Sra.cedillo924,+56 2 9132 7653,24463415,,Nocturno,Fonasa,Part time,K
Josefina Sáenz Fuentes,josáfu986@viajesanma.com,2arMaMjU7sMDwn,,+56 2 3723 9433,22288960,8235,,,,K
David Solorio Acuña,dasoac580@marmol.com,qPS7rFKxkznRF8,david1652991,+56 9 9362 3010,594749,0,,,,9
Lola Duarte Treviño,,IUjEbyT9HFz,lola2905158,+56 9 6937 6746,16844510,,Nocturno,Fonasa,Part time,5
María Cristina Curiel Briseño,Maríabriseño689@edubus.cal,x86IQlumr9UfOVP,Maríabriseño281,+56 9 8670 5788,28944210,-12670,,,,3
Armando Rodríquez Borrego,Armandoborrego469@edubus.cal,abnufj2vaXtIMTx,arrobo518,+56 9 9302 5792,20983707,0,,,,2
Guillermo Delafuente Saldaña,Guillermosaldaña643@viajes.cl,cfV2C2u8Lp3ET,guillermo6566619,+56 2 4814 2777,4937420,,Diurno,Más vida,Part time,8
Sra. María Eugenia Nieves Alemán,sra.1046173@viajesanma.com,h3HScgkMCcxPaW4,Sra.alemán110,+56 2 9973 8380,14466671,0,,,,2
,Benjamínávila884@marmol.com,QgACLgepF6RTy,Benjamínávila566,+56 9 2572 9451,6636414,14758,,,,3
Sta. Arturo Arce Alvarez,stararal347@viajes.cl,mbfy2RAd,sta.7469191,+56 9 9121 6297,3733727,,Diurno,Banmédica,Full time,7
Roberto Pagan Ledesma,ropale334@outluc.com,DR3lcKMeJ,Robertoledesma970,+56 2 7993 5398,,0,,,,
María Luisa Gamez Leiva,maría8334850@viajesanma.com,GjBqJ5US6Q,Maríaleiva547,+56 9 0052 8679,5902457,-7171,,,,4
Jorge Vela Adorno,jorge7473809@tourket.com,kT4IReIfroS,Jorgeadorno116,+56 2 8906 6796,17993655,,,,,0
Gloria Cerda Bravo,Gloriabravo118@viajesanma.com,O8cf0XyooPEVmYw,glcebr366,+56 2 5310 3383,25204229,9043,,,,6
Raquel Cervantes Montañez,racemo452@viajesanma.com,,raquel9926909,+56 2 0223 6542,17668949,0,,,,8
Tomás Delgado Lugo,Tomáslugo399@outluc.com,0VdLD9uAYPTpyAz,tomás1858724,+56 9 9396 2161,23362564,0,,,,7
Gustavo Chávez Corral,gustavo4238829@wass.com,3m17f4XR9ibG,guchco582,+56 9 1783 9970,27655249,0,,,,K
Pedro Lebrón Bravo,pelebr309@wass.com,A7mg39d0,pedro8076699,+56 9 4317 2372,4729480,4856,,,,0
Victoria Serna Partida,Victoriapartida343@tourket.com,qTCn7cboUOeG,Victoriapartida393,+56 9 3018 1818,21018087,0,,,,7
Sra. Gerardo Sedillo Suárez,sra.7410924@tourket.com,,,+56 9 1800 0147,9362146,0,,,,8
Guillermo Medina Olivares,Guillermoolivares662@viajes.cl,,guillermo1402156,+56 2 3073 3692,20820300,,Nocturno,Banmédica,Part time,2
Gilberto Gurule Ramón,Gilbertoramón421@viajes.cl,3SaIsm2Xfvnka,Gilbertoramón825,,18148161,,Nocturno,Más vida,Part time,7
Sr. Sara Molina Otero,Sr.otero613@viajesanma.com,fE67QvJx5,,+56 2 8681 3223,26474556,4562,,,,K
Sta. Irene Bravo Valencia,stirbrva104@viajesanma.com,3a5btILNvSY2,sta.6611769,+56 9 7219 1417,9903825,9940,,,,K
Julia Gonzales Alarcón,julia8587147@marmol.com,93ztmnbKJPl5,jugoal246,+56 2 0344 3174,-24841458,24981,,,,8
Concepción Águilar Olvera,concepción7941327@tourket.com,weOOOnRb09vif,concepción1581438,+56 2 4592 2076,9369592,24016,,,,5
Sofia Armenta Torres,soarto254@viajes.cl,QpWgfZhMzvlsMm16,Sofiatorres547,+56 2 7245 8981,22548963,,Nocturno,Más vida,,7
Ester Granado Tejada,Estertejada762@wass.com,,ester793348,+56 9 7633 4868,27680609,1366,,,,2
,srbegrqu492@viajes.cl,,,+56 2 9173 7110,24734476,,Nocturno,,Full time,4
Elena Alfaro Montez,elalmo454@marmol.com,AlH3eFcpR3,,+56 2 0900 5041,26842368,10127,,,,0
Sra. Rafael Sisneros Meza,sra.8376490@edubus.cal,WfNyQHksnf16,srrasime561,+56 9 6501 3027,,0,,,,
Sr. Alfredo Téllez Zavala,sr.7155697@viajes.cl,T3pR8lz8Zo,sr.8516950,+56 9 9431 4847,11311592,,Diurno,Fonasa,Part time,0
María Eugenia Covarrubias Delrío,maeucode191@edubus.cal,0v3fiRwfW,maría1510295,+56 2 6933 9058,8106887,,,,,9
Adriana Briones Arevalo,Adrianaarevalo161@viajes.cl,R4mcytna9CcoGM,Adrianaarevalo939,,13235396,,Diurno,Más vida,Part time,4
,Miguelaraña665@viajes.cl,8azMzB6CL,Miguelaraña564,+56 9 0865 6077,4490628,,Nocturno,Banmédica,Full time,7
Olivia Armas Hernández,Oliviahernández922@marmol.com,jH54P2jO1,,,,12610,,,,
Daniela Alva Noriega,daalno295@viajes.cl,Yje6l0dj,Danielanoriega937,+56 9 3358 2347,3970139,,Diurno,Colmena,Part time,1
Jerónimo Méndez Valdez,jerónimo8920662@marmol.com,QHEpPCS08,jeméva604,+56 9 8098 9902,,9424,,,,
Carlota Vaca Solorzano,Carlotasolorzano543@tourket.com,ROHh2PJmmrex7Af,cavaso618,+56 9 8076 0943,22880452,6924,,,,5
Octavio Arce Sandoval,ocarsa130@viajes.cl,ypzw3Qwa5IxDu,ocarsa496,+56 9 8042 4673,29657032,,Diurno,Banmédica,Part time,K
Vicente Barajas Garay,vibaga825@viajes.cl,Q2uDXczKLSQq2,vicente1919993,+56 9 9931 7349,20575219,,Nocturno,Banmédica,Part time,6
Emilio Vela Rosado,Emiliorosado632@viajesanma.com,3ghAleNY,emvero272,+56 9 5802 7848,7478294,0,,,,9
,Bernardosaucedo591@viajesanma.com,vgSZ0Of6M,bernardo1800203,+56 9 3179 1526,5667463,14447,,,,2
Ignacio Marrero Fajardo,igmafa209@marmol.com,81x3vCQ8LN9Cnwji,igmafa500,+56 9 3252 5744,16497020,0,,,,5
Antonia Montes Valencia,antonia3604496@viajes.cl,ccKwoLSx2X,anmova570,+56 2 0350 4174,18068086,,Diurno,Más vida,Full time,1
,,Ik0VAF5iRj0n,sta.6166392,+56 2 2125 0618,-23814228,,,,,8
Rodrigo Otero Maestas,rodrigo5648146@viajesanma.com,svREWS4rBQJFnX50,rodrigo6380863,+56 9 9635 0472,6511777,0,,,,0
Gonzalo Negrete Lomeli,gonelo638@viajesanma.com,p6i3291nReUPH8,gonelo979,+56 2 8074 9356,5025821,11513,,,,1
,Claudioescobedo824@viajes.cl,o0r18RvEaMkwB,claudio2045477,+56 2 3044 8173,20893547,,,Más vida,Full time,K
Patricio Duran Alemán,patricio8682387@viajesanma.com,,patricio7333167,+56 9 9628 2494,,2684,,,,
María Elena Hernández Chacón,Maríachacón705@viajes.cl,of2W1H2vBB19l,maría4177968,+56 2 9444 8632,23429681,,Nocturno,Banmédica,Part time,7
Ester Rivas Magaña,Estermagaña391@outluc.com,oK8DGZ5XoFcacIVZ,ester601497,+56 9 5896 8592,22388154,10958,,,,8
Sancho Lebrón Briseño,Sanchobriseño421@outluc.com,fTvBYIX3z,Sanchobriseño304,+56 2 3575 5664,9952162,8229,,,,7
Alfredo Orozco Castañeda,alorca168@viajesanma.com,nIfcvBHT5woWoCHy,alorca988,+56 2 9693 6329,4955301,16549,,,,3
Lola Bustos Mesa,lola9204912@edubus.cal,h9xnnPeL,Lolamesa414,+56 9 8841 2211,21409468,14714,,,,1
Estela Bétancourt Ocasio,estela7481310@wass.com,,esbéoc821,+56 2 6416 5940,2614111,0,,,,7
Ramona Munguía Gamez,ramuga474@viajes.cl,mNcn028dMbK13UX,ramuga197,+56 2 9185 5427,6109796,,Nocturno,Colmena,Full time,1
Andrés Padrón Garay,Andrésgaray900@outluc.com,cdCMCtknPNA87S,anpaga444,+56 2 2815 1942,-7167302,5310,,,,2
Esperanza Serrano Segura,,e7qY4BcHDF,esperanza6822786,+56 2 0197 0628,2045148,8862,,,,3
Miguel Ángel Padrón Arreola,miánpaar973@viajes.cl,m89PGLGl,miguel7611665,+56 2 0127 4951,26830143,,Diurno,Colmena,Part time,7
,Sta.gaytán617@wass.com,D7VdsPNorI59sw3i,stpamoga387,+56 9 9062 6597,24343495,0,,,,5
Manuel Leiva Cardona,maleca840@tourket.com,8U8ljDuL5HNa99,manuel360504,+56 9 5440 9533,29275282,12426,,,,2
Mariano Saavedra Ocampo,mariano1333835@edubus.cal,xLxJ9z4l7YE9iFE,masaoc969,+56 2 6249 0653,-22006616,12392,,,,9
,bernardo1750413@wass.com,QqESvaNFVT7jve,Bernardoquezada975,+56 2 0482 0204,,0,,,,
Jacobo Ureña Olvera,jacobo6193596@outluc.com,LrlEInY6v5C,jacobo6858299,+56 2 7473 1329,1411717,1637,,,,2
Sancho Méndez Bétancourt,Sanchobétancourt392@viajes.cl,5hjmIDKFoLR8NcpY,samébé268,+56 9 1681 2222,-1615010,,Nocturno,Fonasa,Part time,K
Jaime Uribe Limón,Jaimelimón581@viajesanma.com,7OkIpU9dgauBy,jaime8486882,+56 9 2840 4021,11076842,0,,,,7
Rebeca Delarosa Tovar,redeto680@viajes.cl,0kwLIUJsq,Rebecatovar796,+56 2 7631 5703,29013235,,Nocturno,Consalud,Full time,5
Margarita Munguía Yáñez,Margaritayáñez626@viajesanma.com,tdVnGtCIq606INc,mamuyá647,+56 9 7188 1902,25820313,540,,,,5
Mario Rodrígez Alarcón,,THodABpH7,mario8808698,+56 2 7273 5908,6520483,1722,,,,5
Victoria Lucero Mojica,,IJFVtXRR7,Victoriamojica304,+56 2 2386 6122,,,Diurno,Banmédica,Full time,
Víctor Longoria Llamas,víctor5559430@marmol.com,NwmDFAsJnbb8kO,Víctorllamas420,+56 9 3385 4032,15128825,1642,,,,1
María Teresa Meza Marroquín,maría4547699@viajes.cl,,matemema181,+56 9 3165 9508,26844173,,Diurno,Más vida,Full time,5
Lucas Saldaña Berríos,lucas1311591@wass.com,5lGQYGnEdl6i5RR1,lucas2646303,+56 2 5865 0952,-8676962,0,,,,K
Gloria Lucio Zamora,Gloriazamora989@viajes.cl,hHqUUDEDn6zZZE3,gloria4508906,+56 2 4723 9238,21290974,,Diurno,,Part time,2
Sra. Sara Alanis Loera,Sra.loera788@viajes.cl,ho7fKzgXBYmPi4q,sra.9250499,+56 9 0103 5241,27148210,,Nocturno,Más vida,Full time,8
Federico Toledo Manzanares,federico1533137@edubus.cal,yPEPp5n8d,Federicomanzanares897,+56 9 2964 6562,8789877,8204,,,,6
Pedro Vergara Pacheco,pedro5542744@outluc.com,,pevepa901,+56 2 0938 5646,21964376,19455,,,,4
Óscar Rodríguez Gurule,ósrogu582@wass.com,d6ctOErC6LNNKjum,,+56 9 9517 8372,4417429,6963,,,,4
Sta. Marcos Ruelas Abeyta,sta.1187736@tourket.com,NkwT20jyW,Sta.abeyta923,+56 9 4115 1448,6806235,0,,,,7
María Rodrígez Robles,maría6872169@marmol.com,cJbqFH1lzDZbcIBD,maría3144736,+56 2 8446 4131,19537425,0,,,,2
Laura Báez Gollum,Lauragollum841@viajesanma.com,087F4UmsZx8,Lauragollum790,+56 9 4881 5141,10678324,1608,,,,1
Rosario Rivas Márquez,,fGbHv4j55oQ,rorimá732,+56 2 9208 9286,217104,194,,,,K
Mayte Baca Heredia,mabahe502@viajes.cl,,mabahe323,+56 9 0047 2204,10319517,,Nocturno,Colmena,Part time,9
Laura Chapa Carrera,,qih6dT1Phs,laura1911935,,11174923,1888,,,,K
,sra.2169684@marmol.com,zLBQb9csBCoS4,sra.5404657,+56 2 3197 2353,6035455,8315,,,,3
Manuela Delatorre Barrientos,madeba978@marmol.com,AaNo0raoZ4bdZ5,Manuelabarrientos610,+56 2 6896 3007,7536803,350,,,,8
,maocpa190@marmol.com,4kkNKuh16Lr,marilu8411466,+56 9 1583 8986,21580254,14024,,,,K
Julia Sedillo Pelayo,Juliapelayo134@viajes.cl,xWgAJR66B,julia7398716,+56 9 1312 1881,28062941,,Nocturno,Fonasa,Full time,3
Sta. Ariadna Rivas Vélez,sta.105626@tourket.com,otFl7SOWH,sta.1747996,+56 2 1439 1791,2475780,5673,,,,3
Norma Galván Merino,norma258486@viajesanma.com,DK9rCf5zcBu8,nogame755,+56 2 2014 1881,16823978,15614,,,,5
Mateo Calvillo de Anda,Mateoanda164@outluc.com,gNb7bQc1kV7cfrH,macadean146,+56 2 9403 4438,27909406,5855,,,,9
Marisol Garza Ochoa,marisol132344@tourket.com,WV3jrKrR2DEE,Marisolochoa597,+56 9 8499 4747,8902940,0,,,,6
Maricarmen Madrid Adorno,maricarmen6707206@tourket.com,,mamaad123,+56 2 7668 4125,3906778,4109,,,,1
José Eduardo Lugo Nájera,joedluná479@viajes.cl,zj6N1k0p1d6e,josé4935985,+56 2 2046 9798,3293644,,Nocturno,Consalud,Full time,K
Sra. Mariana Limón Delgado,sra.4898493@marmol.com,N7pYuLo5sTdINk2,Sra.delgado425,+56 9 4312 4017,29511548,20495,,,,3
Benjamín Soria León,Benjamínleón812@viajes.cl,efk9o4BHZKxcf6,Benjamínleón104,+56 9 3335 1133,14379960,,Nocturno,Más vida,Part time,3
Rubén González Vallejo,Rubénvallejo566@edubus.cal,OQlt3tik,Rubénvallejo237,+56 9 2997 3983,12477292,349,,,,3
Florencia Bétancourt Esparza,Florenciaesparza580@viajesanma.com,K6mKSBZQ4ql,florencia4185844,+56 2 2054 3562,23527206,17875,,,,7
Óscar Razo Rendón,Óscarrendón475@wass.com,jxKELC7xuV,ósrare846,+56 9 0323 9737,-20263172,8818,,,,K
Lola Zavala Olivares,lola114224@tourket.com,,,+56 9 0468 2275,24433055,17080,,,,K
María Luisa Véliz Henríquez,maluvéhe766@outluc.com,EycbVs7Nnz,maría7638539,+56 9 7887 5965,24053604,10918,,,,8
Ramón Zepeda Leiva,razele975@viajesanma.com,,ramón7921651,+56 2 4533 2544,27196548,14350,,,,6
Sra. Manuela Cedillo Espinoza,sra.6453797@marmol.com,Pk6YL1AtbEW8d98v,Sra.espinoza972,+56 2 1429 0396,26065416,0,,,,0
Lola Duran Cintrón,loduci160@wass.com,O3wa8NQgOQpPg30,lola5402135,+56 9 4915 8766,7655017,3412,,,,4
Rodrigo Patiño Zavala,rodrigo6562850@edubus.cal,LcloQtf8vJpWS9,ropaza835,+56 9 3597 8479,,1996,,,,
Rebeca Meléndez Jasso,remeja739@tourket.com,t35Eyi9Pz8kICv,rebeca1455818,+56 9 2355 8645,23683638,6714,,,,K
Rosa Porras Cortés,ropoco913@outluc.com,0EgBJSKgoTh,rosa2548335,+56 2 1173 0221,25891071,8488,,,,0
Leonor Méndez Castro,leonor6713388@viajes.cl,m2p6LM2aMVh,Leonorcastro215,+56 2 6208 8885,18705642,,Nocturno,Consalud,Part time,K
Jorge Luis Rodrígez Padilla,jorge5319487@wass.com,F4VbXmrAFZ4lx,Jorgepadilla802,+56 9 3272 8763,-17555550,7979,,,,1
Germán Polanco Pelayo,Germánpelayo635@outluc.com,mQSj1tVpGtJ6L,Germánpelayo915,+56 9 3998 0907,9909216,26551,,,,5
Mayte Martínez Ulloa,Mayteulloa538@marmol.com,3AeZVG3t,Mayteulloa621,+56 2 5693 8167,15398300,,,,,3
Marilu Barrientos Corral,Marilucorral601@marmol.com,jVE9oNfmP25TmQwQ,marilu8341227,+56 2 9179 2037,28658225,876,,,,7
Cristobal Flores Lozano,crfllo203@edubus.cal,,crfllo549,+56 9 4837 6314,8242596,0,,,,9
Ignacio Tirado Monroy,ignacio3156442@wass.com,eEhj3NJs,ignacio109222,+56 9 5395 1611,1085431,3708,,,,8
Jorge Maya Mejía,Jorgemejía520@viajesanma.com,pDyOGoBue447j,,+56 9 7115 6072,10067956,0,,,,6
Sra. Alfonso Reyna Arreola,,7yjljlHVDV,sralrear873,+56 2 3399 0674,26623356,7363,,,,6
,ángela1550142@viajesanma.com,LWsim4uvmDHW8,ángela3580666,+56 2 0044 3406,,3688,,,,
Sta. Gloria Ortega Esparza,sta.2200245@viajesanma.com,ZPA0IT1FgB4YfaY,sta.8367902,+56 9 6727 9269,18262427,1364,,,,6
Sonia Lara Quesada,Soniaquesada509@viajes.cl,peO47JA8iDAxOUw,solaqu321,+56 9 1154 3953,281181,,Diurno,Banmédica,Part time,2
María Parra Lomeli,maría6189610@viajes.cl,15wIakdSU,maría4331729,+56 9 8727 8211,9472681,,Nocturno,Banmédica,,6
Antonia Barrera Murillo,Antoniamurillo361@wass.com,C6XXMa9dGkMY4k7,Antoniamurillo667,+56 9 6560 6368,873919,32221,,,,6
Anita Santillán Báez,anita8313808@viajesanma.com,Ixabw2TvJdhxCW,Anitabáez259,,3516910,0,,,,5
Julio César Acuña Alvarez,julio9252833@edubus.cal,dhK7XriDhSCV004,julio3710567,+56 9 2408 6932,7460514,0,,,,1
Sra. Víctor Bonilla Aranda,srvíboar581@outluc.com,eMYeSGOvnNb6I,,+56 2 9949 5524,18561599,0,,,,5
Sta. Clemente Riojas Núñez,Sta.núñez854@wass.com,jsrr4sbgPuq,sta.128455,+56 2 8666 4382,22028913,0,,,,3
Sofia Sanches Leyva,sosale179@tourket.com,,sofia9178530,+56 9 4532 8462,10795643,6840,,,,3
,sr.9973688@outluc.com,TQqnXge2Fd0Bl4f,,,11171374,4938,,,,K
Sta. Pedro Lucio Negrón,sta.4160875@viajes.cl,IUqA2X5HwZmd,stpelune901,+56 9 4223 6391,22726428,,Nocturno,Banmédica,Full time,4
Mónica Torres Rosas,mótoro439@viajes.cl,byzDlEkrIf8cxA,,+56 2 0902 2487,7936627,,Nocturno,Consalud,Part time,7
Sra. Eva Arteaga Pelayo,srevarpe687@tourket.com,e0h4Y4YB5CO2veXc,srevarpe137,+56 9 4111 3637,17693606,3722,,,,1
Patricia Zepeda Arellano,pazear936@edubus.cal,d2xltI8MhYxYW8uz,,+56 9 3550 4217,25683520,0,,,,7
Gabriela Batista Jaramillo,Gabrielajaramillo327@viajesanma.com,iCXdkYV0utqwOIco,gabriela1112427,+56 2 5952 9171,9530697,11300,,,,7
Mario Huerta Melgar,mahume214@wass.com,AKw26Y8JB0,mahume428,+56 2 4983 8010,17729189,4419,,,,7
Leonor Calderón Ocasio,leonor6100282@tourket.com,ZqQobdTCAq0,lecaoc260,+56 9 3395 9545,22552557,2816,,,,9
Emilia Partida Delagarza,emilia6622850@viajesanma.com,OzQDArp4CiC,Emiliadelagarza999,+56 2 8931 2979,7067059,22895,,,,3
