nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Gustavo Mendoza Briseño",9928513,10,,Gustavobriseño,Ntu1G6RhFGAC9,"+56 2 2050 3553",Nocturno,,"Full time",557430,65081,2026-05-20,,3,"No disponible",34650,Cartagena,Orense,2026-06-05,2026-06-05,38,225,20000,"Via Bariloche",Normal,"{""Aire acondicionado"",Comida,Baño}",{},,{}
"Ana Pantoja Gallardo",26589824,10,,ana615,iIg6Y0bA4qlB,"+56 9 8932 4092",Nocturno,Fonasa,"Full time",557876,70752,2025-06-21,882000,9,"No disponible",24339,,Gerona,2025-09-18,2025-09-19,71,2255,,"MÁV (Hungría)",,,{},,{}
,25389678,7,,mapope,,"+56 2 8539 8605",Diurno,Fonasa,"Full time",558031,61206,2025-01-22,-1860000,10,"No disponible",21517,,Huelva,2026-05-17,,46,3581,186000,JetSur,Cama,"{Wifi,Baño,TV}",{},,{}
"Sra. Berta Delao López",6820821,1,,Sra.lópez,rxR3hScu6GD4zp2,"+56 9 6242 7211",Diurno,Consalud,"Part time",,69617,2025-01-21,405000,3,"No disponible",,"La Línea de la Concepción","Talavera de la Reina",2025-03-01,,43,1558,135000,,Cama,"{Comida,Baño,Agua}",{},,{}
,0,7,,Sta.córdova,Czocfn04fuPrI,"+56 9 7647 5632",Nocturno,"Más vida","Part time",558791,68655,2025-02-18,792000,4,"No disponible",,Oviedo,,2025-10-24,2025-10-25,61,2573,198000,"American Airlines",,{},{},"Primera clase",{}
"María José Henríquez Viera",275227,1,,maría5097,GS0li3hCOpN,"+56 2 0228 7953",Diurno,Banmédica,"Full time",,66017,,1392000,,"No disponible",52526,Córdoba,"JEREZ DE LA FRONTERA!!!",2026-01-14,2026-01-16,70,3344,174000,"Qatar Airways",,{},"{Estepona,Mérida,""Santa Coloma de Gramanet""}",,{}
"Sra. Berta Delao López",0,1,,Sra.lópez,rxR3hScu6GD4zp2,"+56 9 6242 7211",,Consalud,"Part time",,71177,2025-08-19,488000,8,"No disponible",53781,,"Hospitalet de LLobregat",2026-11-09,2026-11-10,40,1953,61000,"Buses Romani",Cama,"{Calefacción,""Aire acondicionado"",TV}",{},,{}
"Antonio Núñez Collazo",3164384,10,,annúco,DAqFNmWL3,"+56 9 9658 5457",Nocturno,Colmena,"Part time",559604,65033,2025-08-04,,9,"No disponible",32462,,,2025-10-18,2025-10-20,31,4092,119000,"EME Bus",Cama,"{""Asientos reclinables"",Wifi,TV}",{},,{}
"Alfredo Cordero Tamez",21338837,1,,,Y5XsBi6eOR,"+56 2 0064 8875",,,"Full time",559947,61473,2025-01-08,-1070000,10,"No disponible",71322,"Chiclana de la Frontera",Mataró,,2025-01-30,32,2702,107000,ADO,Cama,"{""Asientos reclinables"",Calefacción,Comida}",{},,{}
"Virginia Garrido Robledo",26485625,6,,virginia5853,Sxx6wkIjP62RNAZ,+56-2-1824-4520,,Fonasa,"Full time",559973,70054,2025-07-23,1287000,9,"No disponible",,León,Fuenlabrada,2026-05-26,2026-05-27,,1713,,"Buses Romani",Cama,"{Calefacción,Wifi,""Asientos reclinables""}",{},,{}
"Adán Villa Saucedo",11246097,7,,adán1383,,"+56 9 6290 6688",Diurno,,"Part time",560152,62294,2025-02-22,840000,6,"No disponible",42933,Huelva,SEVILLA!!!,2025-07-03,2025-07-03,,,140000,Trenitalia,,{},{},,{Badalona}
"Yolanda Rangel Hurtado",6514865,10,,yolanda5585,TJu3XFHMcPR,+56-9-5083-3859,Diurno,"Más vida","Full time",560235,61991,,2744000,7,,93522,Orense,,2025-09-01,2025-09-03,74,4068,392000,Qantas,,{},"{Alcobendas,""Santa Lucía de Tirajana"",Alcobendas,Guadalajara}","Primera clase",{}
,0,8,,,MIpzRAOp08,+56-2-7362-7402,Diurno,Fonasa,"Full time",560351,68356,2026/02/11,405000,3,"No disponible",7132,"Castellón de la Plana",VALLADOLID!!!,2026/04/01,,23,2039,135000,Renfe,,"{""Asientos reclinables"",Calefacción,Agua,Wifi}",{},,"{Mataró,Vitoria,Benidorm,Cartagena,Jaén}"
"Elvira Perea Flórez",8395900,2,,elvira7817,i1l83GBTg,,Nocturno,,"Part time",560438,71156,2025-07-19,,1,"No disponible",69552,Fuengirola,"LAS PALMAS DE GRAN CANARIA!!!",2026-10-29,2026-10-31,88,4243,,"Frontier Airlines",,{},"{Lugo,Tarrasa}","Primera clase",{}
"Sr. Adriana Villa Briones",19829547,7,,Sr.briones,s5ozlrtT0,"+56 9 7199 7672",Nocturno,Consalud,"Full time",560499,61349,,506000,2,"No disponible",,,"Talavera de la Reina",2026/07/05,2026/07/07,68,3659,,"ZS (Eslovenia)",,"{Baño,""Asientos reclinables"",TV,Wifi,""Aire acondicionado"",Calefacción,Agua}",{},,"{""San Sebastían de los Reyes"",Torrelavega,""San Sebastían de los Reyes"",Alcobendas}"
,21920487,6,,luisa4303,8WRIuE9x3aT1,"+56 9 0156 3405",Nocturno,Banmédica,,560918,66351,2025-05-17,676000,,"No disponible",41816,Toledo,,2026-05-20,2026-05-20,85,128,169000,"SNCB (Bélgica)",,{},{},,{Mérida}
"Sra. Gabriel Villarreal Mascareñas",28123577,10,,sra.1473,986sSFr3d9gFptRN,+56-2-3117-2895,,Fonasa,"Full time",561107,69719,2025/03/18,187000,,"No disponible",67017,Salamanca,Lugo,2025/06/24,2025/06/25,,1911,187000,Renfe,,"{Comida,Baño,TV,Wifi}",{},,
"Timoteo Calderón Ramírez",25768970,10,,timoteo3476,LS6hBcC2LmGWg,"+56 2 3164 8439",Diurno,,"Part time",561598,65267,2025-01-27,180000,2,"No disponible",22488,Inca,Mijas,2025-11-12,2025-11-13,65,1776,,,,"{Baño,Comida,Wifi,""Aire acondicionado""}",{},,{}
,3736699,4,,cristobal3490,EPOVc032tUk,"+56 9 5327 8233",Diurno,Colmena,"Full time",562510,63916,2025-01-01,288000,8,,58501,badalona#,Valencia,2025-01-08,2025-01-08,25,893,36000,,,{},{},"Clase económica",
"Sra. Fernando Garibay Rolón",2344822,10,,srfegaro,dUcZRL5zp4o6,+56-9-5620-5531,Diurno,Consalud,,562543,70073,2025-03-14,173000,1,,,Albacete,Alicante,2025-04-05,2025-04-07,85,3961,173000,"Wizz Air",,,"{Marbella,Badajoz,Viladecans,Gecho,Ávila}","Primera clase",{}
"Martín Sevilla Pagan",12638668,10,,Martínpagan,EAQlc2ANn,"+56 9 0522 8523",Nocturno,Banmédica,"Part time",,70841,,522000,6,"No disponible",13072,,Gijón,2025/06/30,2025/07/01,97,1830,87000,"Nederlandse Sp",,"{Calefacción,TV,Comida,""Aire acondicionado""}",{},,{}
"Bernardo Carrillo Bustamante",0,10,,bernardo8707,,+56-2-0263-8770,Nocturno,Banmédica,"Part time",562959,70871,,1710000,6,"No disponible",,"Torrejón de Ardoz",TELDE!!!,2026-11-02,2026-11-04,42,4182,285000,"VRZ (Croacia)",,"{""Asientos reclinables"",Comida,TV,Wifi,""Aire acondicionado"",Baño,Agua}",{},,"{Gecho,Vitoria,""San Cristróbal de la Laguna""}"
"Isabel Nazario Loera",0,9,,isnalo,mX7No8CHuSw,"+56 9 7426 8603",Nocturno,Banmédica,"Full time",563282,68681,2025-04-30,-136000,4,"No disponible",14039,,Oviedo,2025-12-24,,89,861,34000,,,{},{Alcoy},"Clase económica",{}
"Sr. Lola Bétancourt Nevárez",19726300,8,,Sr.nevárez,Z6XvtCH65q34S5TW,+56-9-7175-0220,Nocturno,Consalud,"Part time",563293,61353,2025/02/06,,9,"No disponible",60465,Móstoles,"El Ejido",,2025/07/03,,1676,53000,"American Airlines",,{},,"Clase ejecutiva",{}
"Maricarmen González Reynoso",2005899,10,,,nc6EqTIz4mV,"+56 9 1624 3528",Nocturno,Colmena,"Part time",,63404,2025-07-24,756000,4,"No disponible",,Marbella,"Talavera de la Reina",2025-11-02,2025-11-02,35,903,189000,Avanza,Cama,"{TV,Baño,Wifi}",{},,{}
"Sancho Bañuelos Matías",6545861,6,,Sanchomatías,ylTNik4KM3MfODm,+56-2-9226-2167,Nocturno,"Más vida","Full time",563782,66967,2025-01-06,,8,"No disponible",,"San Sebastían de los Reyes",Bilbao,,2025-01-10,,345,40000,"Flecha Bus",Semi-cama,"{Baño,Agua,Comida}",{},,{}
"Sr. Gilberto Miranda Angulo",3591918,10,,Sr.angulo,,"+56 2 2803 4777",Nocturno,Consalud,"Part time",563792,68529,2025-03-19,244000,4,"No disponible",38671,,Estepona,2026-05-09,2026-05-10,,2042,61000,"ŽSSK (Eslovaquia)",,"{Agua,Wifi,Comida,Baño}",{},,
"Julio Gaitán Tamez",12280875,10,,julio1964,Eqx7YqG97,,Diurno,"Más vida","Part time",,61225,2025-09-28,388000,2,"No disponible",67374,Madrid,Cáceres,2026-08-03,2026-08-03,,422,194000,"Spirit Airlines",,{},,"Clase ejecutiva",{}
,10584319,4,,gucapa,4iFytv5Y,+56-2-2946-5757,Diurno,Consalud,,564470,67595,2025-03-09,-2191000,,"No disponible",33501,Mataró,,2025-07-19,2025-07-21,75,4157,313000,"Copa Airlines",,{},"{Guadalajara,Parla}","Primera clase",{}
"José Salazar Olivera",12906747,10,,josé8360,sAGEhvJC1,"+56 2 8657 3991",Nocturno,Consalud,"Full time",564722,,,1056000,8,,20035,Logroño,"TALAVERA DE LA REINA!!!",2026-05-11,2026-05-11,17,946,132000,"PKP (Polonia)",,"{""Asientos reclinables"",Agua,""Aire acondicionado""}",{},,{}
"María Cristina Alba Solorzano",19416259,6,,,SIAl2t7brJWqAy,,Diurno,"Más vida","Part time",564739,70516,2025-04-23,552000,6,"No disponible",99152,"Cornellá de Llobregat",,2025-05-01,2025-05-02,22,2185,92000,Thalys,,"{TV,""Asientos reclinables"",Calefacción,Wifi,Baño}",{},,
"Jorge Mejía Botello",11083594,10,,Jorgebotello,MEGz07vkve,"+56 2 3490 2803",Nocturno,Fonasa,"Part time",564834,66072,,1782000,9,"No disponible",95452,mataró#,,2025-12-16,2025-12-17,,1740,198000,"LATAM Airlines",,{},"{Puertollano,Lugo}","Clase ejecutiva",{}
"Sr. Diego Guerra Cabrera",14537455,3,,srdiguca,,"+56 9 0054 9170",Diurno,,"Full time",565121,68551,2025-07-01,596000,4,"No disponible",,"talavera de la reina#",Granollers,2026-09-14,2026-09-14,,719,149000,"TGV (SNCF)",,{},{},,"{""Alcalá de Henares"",Gijón,Leganés}"
"Isabel Granado Olivera",25756607,2,,Isabelolivera,uaiHjU4gHF,"+56 2 8169 3871",Nocturno,"Más vida","Part time",565235,67057,,364000,2,"No disponible",50129,"Santa Coloma de Gramanet",PARLA!!!,,2026-10-23,,811,182000,"Buses Bio Bio",,"{Comida,Calefacción,""Asientos reclinables""}",{},,{}
"Fernando Quintana Munguía",4275235,5,,,W15lAz8YT1ie4,"+56 2 7819 1746",Nocturno,,"Full time",565241,67057,2026-08-19,,2,"No disponible",86232,Estepona,Benidorm,2026-10-29,2026-10-30,49,1766,101000,Plusmar,Cama,"{TV,Wifi,Agua}",{},,{}
"Sr. Cecilia Alcaraz Valadez",16797825,8,,Sr.valadez,Odvr6jJ78U1,+56-2-5169-1159,Diurno,,"Part time",565350,62810,2026-07-25,1408000,8,,37756,Gecho,ALBACETE!!!,2026-10-15,2026-10-17,,2947,176000,,,"{""Asientos reclinables"",Agua,Wifi,TV,Baño,""Aire acondicionado""}",{},,"{Gecho,Sagunto,""Ciudad Real""}"
"Javier Vera Cotto",25698351,6,,javeco,,"+56 9 1924 6140",Diurno,Colmena,"Part time",565527,65379,2025-06-28,,,"No disponible",88770,"santa coloma de gramanet#",Sabadell,2025-12-24,2025-12-25,82,1672,155000,"Etihad Airways",,{},{Zamora},,{}
"Jorge Castillo Madera",25977848,4,,jocama,,"+56 2 4622 9706",Nocturno,Colmena,,565543,71926,2025-01-21,570000,5,,47948,Arrecife,Gecho,2026-01-08,,38,624,114000,"Buses Nilahue",Cama,"{""Aire acondicionado"",Baño,Calefacción}",{},,{}
,13519219,8,,marilu1121,JqGp8A5k78,,Diurno,Colmena,"Part time",565691,62500,2025-08-18,1500000,6,"No disponible",86927,motril#,BARACALDO!!!,,2026-01-25,99,2767,250000,Italo,,,{},,{}
,29592483,7,,juana2586,,"+56 9 9699 9437",Nocturno,Banmédica,"Part time",566018,68826,,-1000000,10,"No disponible",33338,Fuengirola,"San Cristróbal de la Laguna",2026-03-16,,32,4128,100000,"Pullman Bus",Cama,"{Calefacción,Wifi,Baño}",{},,{}
"José María Arellano Rivero",21912124,5,,josé7016,8Q6hOuzNpZ7,,Diurno,Consalud,"Part time",566157,64448,2026-04-17,324000,3,"No disponible",56644,,"Collado Villalba",2026-10-27,2026-10-27,40,1379,108000,"Flecha Bus",Cama,"{""Aire acondicionado"",Comida,Wifi}",,,
"Beatriz Perales Amador",16962260,4,,,,"+56 2 2932 0230",Diurno,Consalud,"Part time",566301,64261,2025-03-24,62000,1,"No disponible",30566,estepona#,"San Sebastián",2025-09-24,,61,1575,62000,Trenitalia,,"{Calefacción,""Asientos reclinables"",""Aire acondicionado"",Comida}",,,"{Pamplona,Almería,Badajoz,Gijón,""Mollet del Vallés""}"
"Mateo Gurule Gil",26522610,8,,magugi,kZ6Gt2zfBpst,+56-2-9877-9034,Nocturno,"Más vida","Full time",,63168,2025/04/16,576000,8,"No disponible",37353,Gandía,,2025/08/04,,38,3779,72000,"Buses Bio Bio",,"{TV,Wifi,""Asientos reclinables""}",{},,{}
"Roberto Elizondo Alonso",6567876,4,,Robertoalonso,mW8ER13LF8HVyGg5,"+56 9 9040 4734",Nocturno,,"Full time",566467,69546,2025-07-01,756000,,"No disponible",38815,,Getafe,2025-11-08,2025-11-10,6,3816,378000,Renfe,,,{},,{}
"Clara González Vega",18770675,10,,Claravega,pT9RTdym,"+56 2 0312 9991",Nocturno,Consalud,"Full time",566576,66544,2026-03-03,-256000,1,,77963,,"Talavera de la Reina",2026-10-14,2026-10-15,64,2515,256000,Avianca,,{},{Málaga},"Primera clase",{}
,16161266,9,,gregorio3854,,+56-9-6274-3854,Nocturno,Consalud,"Full time",566591,66041,2025/03/12,-1269000,9,"No disponible",31058,Gerona,Lorca,2025/10/31,2025/11/01,33,2160,141000,Qantas,,{},,"Clase económica",
"Nicolás Marrero Ramón",13585507,3,,nicolás2191,2BV8SXcfAgiD5pVZ,+56-2-5090-5807,Diurno,,"Full time",,63289,2025-06-26,999000,3,,56247,Guadalajara,Jaén,2025-12-26,,90,4187,333000,"TGV (SNCF)",,"{Baño,Comida,Agua,TV,""Asientos reclinables"",""Aire acondicionado"",Wifi}",{},,{Linares}
"Sta. Jacobo Escalante Delao",8096754,3,,Sta.delao,,+56-9-2860-2331,Diurno,Fonasa,"Full time",566680,69924,2025/01/23,552000,4,"No disponible",55096,Lugo,Elche,2025/02/18,2025/02/19,,2311,138000,"NS International",,"{Agua,Comida,""Aire acondicionado"",Wifi,Calefacción}",,,
"Ernesto Gaona Valencia",15932601,10,,Ernestovalencia,EwXxngf3,"+56 2 7331 5685",Diurno,Colmena,"Full time",566767,72127,2025-11-25,950000,5,"No disponible",37681,Madrid,"El Puerto de Santa María",2026-09-07,2026-09-07,55,572,190000,,,{},{},,
"Claudio Rodarte Mares",16184422,5,,claudio298,wgasTsp03MK5,,Diurno,"Más vida","Part time",,,2025-03-05,316000,4,"No disponible",77007,"Alcalá de Henares",Lérida,2026-04-06,2026-04-07,50,1979,79000,Alsa,,"{""Aire acondicionado"",Wifi,Agua}",{},,{}
"Benjamín Jáquez Escalante",8791226,4,,bejáes,,"+56 9 8296 9812",Nocturno,"Más vida","Full time",566855,63257,2026/02/19,585000,5,,32145,Orense,"El Puerto de Santa María",2026/04/30,,,1006,117000,JetBlue,,{},{},"Clase económica",{}
,14287158,10,,vialfi,ZamAz5iQZQ1oF9,"+56 9 2701 0505",Diurno,,"Part time",567148,,2026-10-19,444000,4,"No disponible",34769,Elda,Almería,2026-10-30,2026-10-31,36,2732,111000,Avanza,Cama,"{Wifi,Calefacción,""Asientos reclinables""}",{},,{}
"Lorenzo Gaytán Lucio",12581914,10,,logalu,uEU8YBSwunI,"+56 9 3499 5692",Diurno,Consalud,"Full time",567325,72139,2025/01/21,,4,,,alicante#,VITORIA!!!,2025/05/25,2025/05/27,39,4238,79000,ADO,Cama,"{Wifi,Comida,TV}",{},,{}
,7817706,3,,inés5338,fcnC3Toqa,"+56 2 6834 8022",,Banmédica,"Part time",,67004,2026-06-30,1204000,7,"No disponible",10207,Pamplona,,2026-07-15,2026-07-16,76,2618,172000,"ZFBH (Bosnia y Herzegovina)",,"{""Asientos reclinables"",""Aire acondicionado"",Comida,TV,Wifi}",{},,"{Logroño,Málaga,Sagunto,Granada}"
"Federico Niño Banda",5742513,10,,,81NYCPcln,"+56 2 7276 2303",Diurno,Fonasa,"Full time",567617,64514,2025/05/22,612000,4,"No disponible",,reus#,Benalmádena,2026/06/16,,34,3247,153000,FlixBus,Cama,"{Agua,Calefacción,TV}",,,{}
"Rafael Contreras Olivera",26882469,3,,racool,6OhoV3nbUHC3E,,Diurno,,"Part time",567624,,2026-05-24,1542000,6,"No disponible",32155,Pontevedra,"MOLINA DE SEGURA!!!",2026-06-06,2026-06-07,19,,257000,"ŽFBH (Bosnia y Herzegovina)",,"{Baño,""Asientos reclinables"",Calefacción,TV,Wifi}",{},,"{Viladecans,Coslada,Córdoba,Madrid}"
,4991799,6,,Raúlmartínez,87gNGI6T,"+56 2 0612 0855",Nocturno,Banmédica,"Full time",567683,71763,,644000,4,"No disponible",9754,Benidorm,"Cerdañola del Vallés",,2025-12-24,,4022,161000,"DSB (Dinamarca)",,"{Agua,Wifi,Calefacción,""Asientos reclinables"",""Aire acondicionado"",Comida,TV}",{},,"{Santander,Motril,""Molina de Segura""}"
"Rebeca Solorzano Mojica",21153790,6,,,3IC48Gkg4e,"+56 9 2181 0486",Nocturno,Consalud,"Part time",567814,63596,2025-01-21,468000,3,"No disponible",96252,,Valdemoro,2026-09-21,2026-09-22,15,,156000,"All Nippon Airways (ANA)",,,{},"Clase ejecutiva",{}
,0,8,,elsa5261,,"+56 2 8239 7129",Diurno,Colmena,"Full time",567945,66895,2025-01-24,990000,10,"No disponible",48305,"collado villalba#",BURGOS!!!,2025-02-13,2025-02-13,69,191,99000,"ŽSSK (Eslovaquia)",,{},{},,
"Marcos Cepeda Balderas",10150193,10,,marcos5581,,,Diurno,"Más vida",,568045,69500,2026-07-22,,6,"No disponible",51212,Huelva,Vigo,2026-07-24,2026-07-26,42,3694,177000,Monbus,Cama,"{Wifi,Calefacción,""Aire acondicionado""}",{},,{}
"Luis Campos Méndez",0,1,,Luisméndez,ZV2aKA86iPL3,+56-2-8086-5427,Diurno,Consalud,"Part time",568584,70623,2026-05-13,1068000,6,"No disponible",49012,Benidorm,,2026-06-04,2026-06-06,40,,178000,Turbus,Cama,"{Wifi,Agua,""Aire acondicionado""}",{},,
"Anita Muñiz García",21559993,10,,anita3685,Ou9Y0YEsc9aFUH,"+56 2 1826 2722",,"Más vida",,569142,69170,2025-02-21,-1407000,7,"No disponible",18809,Barcelona,,2025-05-21,2025-05-22,66,2325,201000,Ryanair,,,"{Burgos,Burgos,Lérida}","Clase ejecutiva",{}
"Sr. Rosario Terán Haro",0,3,,srroteha,8mQZQKHg798,"+56 9 7927 2794",Nocturno,"Más vida","Full time",569713,67487,2026-02-14,-144000,2,"No disponible",38177,,"Santiago de Compostela",,2026-06-17,,2665,72000,ADO,Cama,"{Wifi,TV,""Asientos reclinables""}",{},,{}
"Gustavo Benavides Ulibarri",16289292,10,,Gustavoulibarri,LsIFDHHt1O3Q8Hpe,+56-9-0059-6890,Diurno,Banmédica,"Part time",569824,64644,2025-05-20,729000,9,"No disponible",82433,Cáceres,"La Línea de la Concepción",2026-10-14,2026-10-15,27,1845,,,,{},{Gijón},,{}
"Arturo Cisneros Roldán",0,4,,arturo4558,f6fRGUqRYpG,"+56 9 2493 2123",Nocturno,Consalud,,570170,72218,2025-06-26,192000,,"No disponible",75060,Guadalajara,"Las Palmas de Gran Canaria",2025-07-19,2025-07-19,49,1327,192000,"EME Bus",Cama,"{Baño,""Asientos reclinables"",""Aire acondicionado""}",{},,{}
"Roberto Esquibel Rascón",28435973,9,,roesra,d1GAj3Ox,"+56 2 0493 3185",Diurno,Fonasa,,570176,72218,2025-07-01,131000,1,"No disponible",61037,Marbella,,2025-07-23,2025-07-25,45,4159,131000,"Buses Bio Bio",Cama,"{""Asientos reclinables"",Wifi,Baño}",,,{}
"Sr. Sergio Becerra Escalante",0,1,,sr.6036,wUTr5P30,+56-9-6196-6596,Diurno,,"Part time",570212,62550,2025-04-25,1160000,4,"No disponible",,"el ejido#",Algeciras,2026-04-20,2026-04-21,92,2643,290000,,,{},"{Vitoria,León}","Clase ejecutiva",{}
"Federico Medina Delvalle",3326331,7,,Federicodelvalle,,"+56 2 4522 9498",Nocturno,Colmena,"Part time",570521,67110,2025-04-17,1148000,7,"No disponible",17516,"las palmas de gran canaria#",Alcoy,2025-11-04,2025-11-06,,2956,164000,Plusmar,,"{Comida,Calefacción,Baño}",{},,{}
"Ángela Mondragón Niño",0,9,,ángela1398,7tJGs4XbX,,Diurno,Colmena,"Part time",570592,64645,,1304000,8,"No disponible",4476,burgos#,Benalmádena,2026-07-17,2026-07-18,81,2815,163000,,,{},{},"Clase ejecutiva",{}
"Luz Urías Salinas",5744859,8,,Luzsalinas,9chiIzCSeH,"+56 9 1484 4395",Nocturno,,,570721,63783,2025-11-12,429000,3,"No disponible",93506,"La Coruña",Granollers,,2025-11-28,80,755,143000,"ŽSSK (Eslovaquia)",,"{Calefacción,Wifi,""Aire acondicionado""}",{},,
"María Maldonado Rivas",17381178,10,,maría7962,jJSub8k5,"+56 9 8810 3919",Diurno,Colmena,"Part time",570832,64189,2025-02-22,2052000,6,"No disponible",2262,,Pontevedra,2025-06-26,2025-06-28,47,3155,342000,"CD (República Checa)",,,,,"{""Roquetas de Mar""}"
"Sra. Horacio Mondragón Bermúdez",7110167,3,,srhomobe,tcE2aGpYxq,"+56 2 7830 5549",Nocturno,Fonasa,"Part time",570910,69330,2026-03-25,1503000,9,"No disponible",69531,,Orense,2026-06-07,2026-06-08,22,2702,167000,"Singapore Airlines",,{},,,
"Lucas Quiroz Benítez",0,6,,lucas9352,X5LXThnlME7KrDRE,"+56 2 7564 2478",Diurno,Colmena,"Full time",571300,69229,2025-09-10,-232000,1,"No disponible",39608,Gijón,"SANTA COLOMA DE GRAMANET!!!",2025-09-27,,87,3352,,"BDZ (Bulgaria)",,"{""Asientos reclinables"",Baño,Agua,Comida,TV,Calefacción}",{},,
"Sra. Gabriel Villarreal Mascareñas",28123577,10,,sra.1473,,,Nocturno,Fonasa,"Full time",571665,66684,2025-12-02,-1190000,10,"No disponible",2582,Torrelavega,"Jerez de la Frontera",2026-06-09,2026-06-09,40,835,119000,FlixBus,Cama,"{TV,""Asientos reclinables"",Baño}",,,
"Antonio Núñez Collazo",3164384,8,,annúco,DAqFNmWL3,"+56 9 9658 5457",Nocturno,Colmena,"Part time",,69209,2025-11-18,-636000,6,"No disponible",,Barcelona,Oviedo,2026-07-31,,12,731,106000,"Alaska Airlines",,,{},"Clase económica",{}
"Alfonso Abrego Cardona",4644905,3,,Alfonsocardona,,"+56 9 7969 3980",Diurno,Banmédica,"Part time",,65670,2025/04/22,,5,"No disponible",,"molina de segura#",Zamora,2025/08/11,2025/08/11,74,694,177000,"Delta Air Lines",,{},{},"Clase ejecutiva",{}
"Rosario Berríos Moreno",13474958,10,,,KF1U8xq4qvDX,"+56 9 0973 1288",Nocturno,,"Full time",571944,70721,,680000,8,"No disponible",73738,"San Cristróbal de la Laguna",Zaragoza,2026-07-04,2026-07-04,40,1012,85000,"Crucero del Norte",Cama,"{Wifi,""Aire acondicionado"",Comida}",{},,{}
"Teodoro Manzanares Lara",5053201,1,,temala,o9BBF6wn,,Nocturno,"Más vida","Full time",572009,67862,2025-05-08,,4,"No disponible",99733,Vigo,MIJAS!!!,2025-09-22,2025-09-22,,957,,Greyhound,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Comida}",{},,{}
"Vicente Velásquez Niño",24010310,9,,,pX6A5fWwYbfvbDP,,Diurno,Colmena,"Part time",572029,71243,2026-04-09,720000,,"No disponible",44918,getafe#,Reus,2026-06-20,2026-06-21,45,2228,120000,Damas,Cama,"{TV,Baño,""Aire acondicionado""}",{},,
"Micaela Montez Navarro",27214184,3,,,,"+56 9 9270 5712",,Colmena,"Full time",572058,63209,2025-08-23,314000,2,"No disponible",54849,"collado villalba#","SANTA LUCíA DE TIRAJANA!!!",2025-12-01,2025-12-03,34,3880,157000,Turbus,Cama,"{Calefacción,""Aire acondicionado"",""Asientos reclinables""}",{},,
"Sta. María Elena Ochoa Sauceda",21512829,6,,stmaelocsa,qmzk63ykaIsI,"+56 9 1487 4715",Diurno,Fonasa,"Full time",572116,63229,2025-02-06,-99000,1,"No disponible",27729,"El Ejido",Avilés,2025-02-21,2025-02-22,,2794,99000,Futura,Cama,"{Comida,""Aire acondicionado"",TV}",,,
"Adán Pedraza Correa",6968536,6,,adpeco,j3x2ro99V,+56-9-6371-9226,,Fonasa,"Full time",572349,65754,2025-07-14,-110000,,"No disponible",52044,"Cerdañola del Vallés",BENIDORM!!!,2025-09-14,2025-09-15,50,,55000,ADO,Cama,"{Agua,Baño,""Aire acondicionado""}",,,{}
,4991799,6,,Raúlmartínez,87gNGI6T,,Nocturno,Banmédica,"Full time",,72052,2026/07/03,1246000,7,"No disponible",9938,Lérida,Benalmádena,2026/09/17,2026/09/17,31,669,178000,WestJet,,{},{},"Clase ejecutiva",{}
"Felipe Meza Juárez",26109320,10,,felipe4554,MdRG7Y3tZxJ,"+56 2 2452 0461",,,"Part time",572470,64432,2025-10-04,,5,"No disponible",76143,,"Cornellá de Llobregat",2026-04-11,2026-04-12,49,1992,137000,"Primera Plus",Cama,"{Agua,Comida,""Aire acondicionado""}",{},,{}
"Ernesto Dueñas Domínguez",17541414,2,,Ernestodomínguez,glGJt8I89GZJlw,+56-9-9842-2826,Nocturno,Colmena,"Full time",,62677,2025-09-05,-954000,6,"No disponible",22564,"Las Palmas de Gran Canaria",MATARó!!!,2025-10-04,,32,191,,"SJ (Suecia)",,{},{},,
"Sra. Inés Llamas Cabán",25356098,3,,srinllca,,"+56 9 2792 1413",Nocturno,Colmena,,573286,62571,,81000,1,"No disponible",95494,"Torrejón de Ardoz",CóRDOBA!!!,2025-08-06,2025-08-06,,1010,81000,Qantas,,{},{},"Clase económica",{}
"Lucas Abreu Irizarry",28094809,8,,,Qu3sPvtTA0KS3d,"+56 9 1550 0540",Nocturno,Consalud,"Part time",573324,70490,2025-02-06,,4,"No disponible",35761,Arrecife,"Castellón de la Plana",,2025-11-28,,3999,253000,"ŽFBH (Bosnia y Herzegovina)",,"{Comida,Wifi,Agua,TV,Calefacción,""Asientos reclinables"",Baño}",{},,"{""La Línea de la Concepción"",""San Cristróbal de la Laguna"",Alcorcón,Logroño,Badalona}"
"Arturo Ceja Atencio",968060,10,,,76JH0Waxu,"+56 9 8824 3863",Diurno,Banmédica,"Full time",573436,71915,2025-03-27,684000,9,"No disponible",39065,alcobendas#,Rivas-Vaciamadrid,2026-05-07,2026-05-07,68,1041,76000,"ŽFBH (Bosnia y Herzegovina)",,"{""Asientos reclinables"",Comida,Baño}",,,"{Alcobendas,Ceuta,Cáceres,Ponferrada}"
